Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
sh4_202_md,,51,53.4,321.9950,,89,90.9,43.3860,,113,114.7,34.0190,,93,97.8,198.0860,,94,98.0,446.0760,,103,108.1,43.3860,,-,-,-,,-,-,-,,-,-,-,,-,-,-
sh7708,,56,57.9,399.5370,,97,100.0,46.4250,,123,124.8,36.5910,,101,105.8,95.2330,,102,106.0,445.0050,,113,117.3,46.4250,,-,-,-,,-,-,-,,-,-,-,,-,-,-
skmb91302,,44,45.6,224.3600,,72,76.4,36.6730,,98,100.7,28.0990,,81,83.5,418.1040,,80,83.1,287.9260,,92,94.5,36.6730,,-,-,-,,-,-,-,,-,-,-,,-,-,-
sleb,,43,44.5,229.7460,,71,74.7,34.1270,,98,99.3,26.2490,,78,81.4,322.6780,,78,81.4,457.7000,,90,93.5,34.1270,,-,-,-,,173,182.0,3572.2267,,-,-,-,,-,-,-
smdk2410,,58,59.9,392.7330,,96,101.0,47.6100,,121,127.0,37.6670,,102,106.6,134.6150,,104,106.8,755.0530,,110,118.8,47.6100,,-,-,-,,-,-,-,,-,-,-,,-,-,-
snds,,46,49.1,229.6430,,81,84.8,37.3370,,102,107.2,30.1170,,86,89.0,530.7670,,84,88.3,353.7730,,98,102.0,37.3370,,-,-,-,,-,-,-,,-,-,-,,-,-,-
sparc_erc32,,44,45.2,211.3140,,72,76.6,32.1260,,95,98.2,25.7700,,78,81.2,753.2070,,78,81.4,537.6710,,88,93.0,32.1260,,-,-,-,,161,171.6,3489.9533,,-,-,-,,-,-,-
sparc_leon,,44,45.1,208.7640,,72,74.4,32.9650,,95,97.8,25.4280,,78,82.4,47.0270,,78,82.1,539.4840,,90,92.7,32.9650,,-,-,-,,165,186.8,3507.8044,,-,-,-,,-,-,-
sparclite_sim,,42,44.5,251.0600,,75,77.1,32.6280,,96,99.8,25.6600,,80,82.7,47.9850,,80,83.4,117.0150,,88,94.0,32.6280,,-,-,-,,159,171.4,3400.9280,,-,-,-,,-,-,-
stb,,44,45.8,282.9080,,80,83.7,37.5380,,102,104.1,30.8100,,83,86.3,207.0410,,82,86.2,401.8740,,97,99.6,37.5380,,-,-,-,,-,-,-,,-,-,-,,-,-,-
stdeval1,,43,45.5,267.3310,,78,78.9,35.3360,,99,102.3,27.3230,,81,85.6,118.5990,,82,85.4,345.2040,,91,97.1,35.3360,,-,-,-,,191,205.0,3570.7400,,-,-,-,,-,-,-
